BILLING_ADDRESS,BILLING_ADDRESS_CITY_STATE_ZIP,AGENT_ENTITY,AGENT_FIRST_NAME,AGENT_LAST_NAME,AGENT_MIDDLE_NAME,AGENT_PHONE,SITE_ADDRESS,BBL_CITY_STATE_ZIP,BILLING_NAME,CUSTOMER_NUMBER,DC_ADDR_FLAG,LICENSECATEGORY,ENTITY_NAME,FIRST_NAME,LAST_NAME,DCS_ADD_DATE,LICENSE_END_DATE,LICENSE_ISSUE_DATE,LICENSE_START_DATE,LICENSE_CATEGORY_TEXT,LICENSE_CATEGORY_CODE,LICENSESTATUS,PHONE_NUMBER,CITY,STATE,ZIP,BBL_LICENSE_FACT_ID,LATITUDE,LONGITUDE,XCOORD,YCOORD,ZIPCODE,MARADDRESSREPOSITORYID,WARD,ANC,SMD,DISTRICT,PSA,NEIGHBORHOODCLUSTER,BUSINESSIMPROVEMENTDISTRICT,MAINSTREET,DCS_LAST_MOD_DTTM,GLOBALID,OBJECTID
,3301 11th Street NW Washington DC 20010 ,,JESSICA,WOODS,,,3301 11TH ST NW ,Washington DC 20010,"Eleventh House, LLC",930817000003,Y,Grocery Store,"Eleventh House, LLC",,,,2026/10/31 04:00:00+00,2024/08/05 04:00:00+00,2024/11/01 04:00:00+00,Public Health Food Establish,9305,Active,,WASHINGTON,DC,20010,551008469,38.9309,-77.027847,397585.49,140335.79,,218169,1,ANC 1A,1A06,THIRD,302,Cluster 2,,,2026/04/03 08:30:23+00,{4E8BF186-A045-6B09-E063-782F520A8A93},393101878
,3306 GEORGIA  AVENUE WASHINGTON DC 20010 ,,MULU,ARGAW,,,3306 GEORGIA AVE NW ,WASHINGTON DC 20010,MEG&AN LLC,930821000020,Y,Grocery Store,MEG&AN LLC,,,,2027/08/31 04:00:00+00,2025/07/22 04:00:00+00,2025/09/01 04:00:00+00,Public Health Food Establish,9101,Active,,WASHINGTON,DC,20010,551036469,38.93128176,-77.02380993,397935.54,140378.07,,233025,1,ANC 1E,1E03,FOURTH,409,Cluster 2,,,2026/04/03 08:30:26+00,{4E8BF187-00DC-6B09-E063-782F520A8A93},393126605
,3308 GEORGIA AVENUE  WASHINGTION DC 20010 ,ADANECH GEBREMESKEL,,,,,3308 GEORGIA AVE NW ,WASHINGTON DC 20010,GEZALA,930825000039,Y,Grocery Store,GEZALA,,,,2027/07/31 04:00:00+00,2025/07/23 04:00:00+00,2025/07/23 04:00:00+00,Public Health Food Establish,4003,Active,,WASHINGTON,DC,20010,551039028,38.93131617,-77.02382206,397934.49,140381.89,,233024,1,ANC 1E,1E03,FOURTH,409,Cluster 2,,,2026/04/03 08:30:26+00,{4E8BF187-086E-6B09-E063-782F520A8A93},393128543
,3412 Georgia Ave NW Washington DC 20010 ,"2118 14TH STREET, INC",,,,,3412 GEORGIA AVE NW ,WASHINGTON DC 20010,FLORES L,930820000010,Y,Grocery Store,FLORES L,,,,2028/05/31 04:00:00+00,2024/05/07 04:00:00+00,2024/06/01 04:00:00+00,Public Health Food Establish,4003,Active,,WASHINGTON,DC,20010,551033145,38.93239703,-77.02405216,397914.57,140501.88,,284667,1,ANC 1E,1E03,FOURTH,409,Cluster 2,,,2026/04/03 08:30:26+00,{4E8BF189-9063-6B09-E063-782F520A8A93},393294420
#9686,4005 Wisconsin Avenu Washington DC 20016 ,FERTARI NETSUZIY,,,,,3501 GEORGIA AVE NW ,WASHINGTON DC 20010,"MULTIFARIOUS PUBLICA UXR,",930825000001,Y,Grocery Store,"MULTIFARIOUS PUBLICA UXR,",,,,2026/09/30 04:00:00+00,2024/10/11 04:00:00+00,2024/10/01 04:00:00+00,Public Health Food Establish,9305,Active,,WASHINGTON,DC,20010,550971606,38.93300257,-77.02358999,397954.66,140569.09,,228776,1,ANC 1E,1E02,FOURTH,409,Cluster 2,,,2026/04/03 08:30:20+00,{4E8BF189-99B7-6B09-E063-782F520A8A93},393296808
,3509 WHEELER RD SE  WASHINGTON DC 20032 ,PROFESSIONAL CORPORATION SERVICE INC,BERNARD,DIETZ,C,2025488000,3509 WHEELER RD SE ,WASHINGTON DC 20032,RAM SERVICES INC,70109821,Y,Grocery Store,RAM SERVICES INC,,,,2012/11/30 05:00:00+00,2014/08/19 04:00:00+00,2010/12/01 05:00:00+00,Public Health Food Establish,9308,Active,2025610600,WASHINGTON,DC,20032,550959015,38.8391882,-76.9939661,400523.85,130154.72,,147495,8,ANC 8C,8C07,SEVENTH,705,Cluster 39,Soul of the City BID,,2026/04/03 08:30:19+00,{4E8BF185-F85D-6B09-E063-782F520A8A93},393058894
,3509 WHEELER ROAD S. WASHINGTON DC 20032 ,PROFESSIONAL CORPORATION SERVICE INC.,BERNARD,DIETZ,,2025488000,3509 WHEELER RD SE ,WASHINGTON DC 20032,SHGER L.L.C.,930815000007,Y,Grocery Store,SHGER L.L.C.,,,,2026/11/30 05:00:00+00,2024/11/19 05:00:00+00,2024/12/01 05:00:00+00,Public Health Food Establish,4003,Active,2024467801,WASHINGTON,DC,20032,551033142,38.8391882,-76.9939661,400523.85,130154.72,,147495,8,ANC 8C,8C07,SEVENTH,705,Cluster 39,Soul of the City BID,,2026/04/03 08:30:26+00,{4E8BF186-F43D-6B09-E063-782F520A8A93},393123374
,3653 GEORGIA AVENUE  WASHINGTON DC 20011 ,Abdulkadir,,,,,3653 GEORGIA AVE NW ,WASHINGTON DC 20010,Shishi US LLC,930822000026,Y,Grocery Store,Shishi US LLC,,,,2026/08/31 04:00:00+00,2024/12/20 05:00:00+00,2024/09/01 04:00:00+00,Public Health Food Establish,4003,Active,,WASHINGTON,DC,20010,551039025,38.93599397,-77.02398083,397920.86,140901.17,,284774,1,ANC 1E,1E01,FOURTH,409,Cluster 2,,,2026/04/03 08:30:26+00,{4E8BF187-086B-6B09-E063-782F520A8A93},393128540
,3728 MINNESOTA AVE N WASHINGTON DC 20019 ,MOHAMMAD SARKER,,,,,3728 MINNESOTA AVE NE ,WASHINGTON DC 20019,BEST FOOD MARKET,930826000001,Y,Grocery Store,BEST FOOD MARKET,,,,2027/10/31 04:00:00+00,2025/10/02 04:00:00+00,2025/10/02 04:00:00+00,Public Health Food Establish,4003,Active,,WASHINGTON,DC,20019,551033149,38.89110904,-76.95248659,404122.01,135919.37,,31128,7,ANC 7F,7F02,SIXTH,603,Cluster 32,,,2026/04/03 08:30:26+00,{4E8BF186-F443-6B09-E063-782F520A8A93},393123380
,3736 10TH ST NE WASHINGTON DC 20017 ,ADANECH GEBREMESKEL,,,,,3736 10TH ST NE ,WASHINGTON DC 20017,BROOKLAND TG,930825000006,Y,Grocery Store,BROOKLAND TG,,,,2026/10/31 04:00:00+00,2024/11/18 05:00:00+00,2024/11/01 04:00:00+00,Public Health Food Establish,4103,Active,,WASHINGTON,DC,20017,551006646,38.93646518,-76.99390204,400528.69,140953.26,,156309,5,ANC 5B,5B05,FOURTH,405,Cluster 20,,,2026/04/03 08:30:23+00,{4E8BF186-9A30-6B09-E063-782F520A8A93},393100321
,3923 SOUTH CAPITOL S WASHINGTION DC 20032 ,,ADANECH,GEBREMESKEL,,,3923 SOUTH CAPITOL ST SW ,WASHINGTON DC 20032,DMV DC MINI MART LLC,930825000046,Y,Grocery Store,DMV DC MINI MART LLC,,,,2027/09/30 04:00:00+00,2025/09/22 04:00:00+00,2025/09/22 04:00:00+00,Public Health Food Establish,4003,Active,3018446910,WASHINGTON,DC,20032,551039030,38.83199479,-77.00857595,399255.38,129356.22,,276603,8,ANC 8D,8D01,SEVENTH,708,Cluster 39,Soul of the City BID,,2026/04/03 08:30:26+00,{4E8BF187-0870-6B09-E063-782F520A8A93},393128545
,4003 GAULT PLACE NE WASHINGTON DC 20019 ,TSION ABAY,,,,,4003 GAULT PL NE ,WASHINGTON DC 20019,GAULT MARKET INC,930822000021,Y,Grocery Store,GAULT MARKET INC,,,,2026/07/31 04:00:00+00,2024/07/01 04:00:00+00,2024/08/01 04:00:00+00,Public Health Food Establish,9308,Active,,WASHINGTON,DC,20019,551002141,38.89890858,-76.94586316,404696.11,136785.5,,28219,7,ANC 7C,7C09,SIXTH,602,Cluster 30,,,2026/04/03 08:30:23+00,{4E8BF186-8B1F-6B09-E063-782F520A8A93},393096464
,405 61st STREET NE WASHINGTON DC 20019 ,PROFESSIONAL CORPORATION SERVICE INC.,,,,,405 61ST ST NE ,WASHINGTON DC 20019-2842,SKIP'S LIQUORS,930823000018,Y,Grocery Store,SKIP'S LIQUORS,,,,2027/09/30 04:00:00+00,2025/09/26 04:00:00+00,2025/09/26 04:00:00+00,Public Health Food Establish,9101,Active,,WASHINGTON,DC,20019-2842,551010445,38.89489833,-76.91337977,407514.31,136342.54,,27321,7,ANC 7C,7C05,SIXTH,608,Cluster 31,,,2026/04/03 08:30:23+00,{4E8BF186-A70D-6B09-E063-782F520A8A93},393103614
,4053 MINNESTOTA AVE  WASHINGTON DC 20019 ,RASHEL HOSSAIN,,,,,4053 MINNESOTA AVE NE ,WASHINGTON DC 20019,DMV CONVENIENCE INC,930821000007,Y,Grocery Store,DMV CONVENIENCE INC,,,,2027/04/30 04:00:00+00,2025/09/17 04:00:00+00,2025/05/01 04:00:00+00,Public Health Food Establish,4003,Active,,WASHINGTON,DC,20019,551033146,38.8961634,-76.94752061,404552.51,136480.68,,288085,7,ANC 7F,7F01,SIXTH,602,Cluster 30,,,2026/04/03 08:30:26+00,{4E8BF186-F440-6B09-E063-782F520A8A93},393123377
,4133 WHEELER ROAD S. WASHINGTON DC 20032 ,,MULGGETA,WOLDEABZUI,,,4133 WHEELER RD SE ,WASHINGTON DC 20032,AKI & MULLER CORPORATION,930812000007,Y,Grocery Store,AKI & MULLER CORPORATION,,,,2027/12/31 05:00:00+00,2023/12/14 05:00:00+00,2024/01/01 05:00:00+00,Public Health Food Establish,9308,Active,2025610750,WASHINGTON,DC,20032,551002128,38.83355613,-76.99021453,400849.62,129529.55,,300965,8,ANC 8E,8E06,SEVENTH,706,Cluster 39,Soul of the City BID,,2026/04/03 08:30:23+00,{4E8BF186-8B15-6B09-E063-782F520A8A93},393096454
,4137 WHEELER RD SE WASHINGTON DC 20032 ,Mohammad Salim,,,,,4137 WHEELER RD SE ,WASHINGTON DC 20032,Wheeler Liquor & Grocery,930825000005,Y,Grocery Store,Wheeler Liquor & Grocery,,,,2026/10/31 04:00:00+00,2024/11/13 05:00:00+00,2024/11/01 04:00:00+00,Public Health Food Establish,9308,Active,,WASHINGTON,DC,20032,551011345,38.83341297,-76.99003603,400865.12,129513.66,,300967,8,ANC 8E,8E06,SEVENTH,706,Cluster 39,Soul of the City BID,,2026/04/03 08:30:23+00,{4E8BF186-AB33-6B09-E063-782F520A8A93},393104676
,415 RHODE ISLAND AVE WASHINGTON DC 20002 ,NEIGHBOURHOOD OF SMRET MARKET LLC,TESFOM,DEBESAI,,6464096731,415 RHODE ISLAND AVE NE ,WAS DC 20002,NEIGHBOURHOOD OF SMRET MARKET LLC,930816000030,Y,Grocery Store,NEIGHBOURHOOD OF SMRET MARKET LLC,,,,2026/07/31 04:00:00+00,2024/06/20 04:00:00+00,2024/08/01 04:00:00+00,Public Health Food Establish,9308,Active,6464096731,WAS,DC,20002,551037248,38.91964202,-76.99989034,400009.51,139085.69,,26073,5,ANC 5F,5F06,FIFTH,502,Cluster 21,,,2026/04/03 08:30:26+00,{4E8BF189-9C2A-6B09-E063-782F520A8A93},393297435
,4202 BENNING ROAD N. WASHINGTON DC 20019 ,,KIFFLOM T.,MELES,,2025252450,4202 BENNING RD NE ,WASHINGTON DC 20019,MENKEM LLC.,930818000001,Y,Grocery Store,MENKEM LLC.,,,,2027/09/30 04:00:00+00,2025/09/16 04:00:00+00,2025/10/01 04:00:00+00,Public Health Food Establish,9308,Active,3015126329,WASHINGTON,DC,20019,551002136,38.89311405,-76.9423133,405004.45,136142.45,,25566,7,ANC 7F,7F03,SIXTH,602,Cluster 30,,,2026/04/03 08:30:23+00,{4E8BF186-8B1B-6B09-E063-782F520A8A93},393096460
,421 East Capitol Str Washington DC 20003 ,,Jae,Lee,I,5712435756,421 EAST CAPITOL SE ,WASHINGTON DC 20003,,930825000021,Y,Grocery Store,,JAE,LEE,,2027/02/28 05:00:00+00,2025/03/24 04:00:00+00,2025/03/01 05:00:00+00,Public Health Food Establish,9308,Active,,WASHINGTON,DC,20003,550999394,38.88954773,-76.99972774,400023.62,135744.98,,25551,6,ANC 6B,6B02,FIRST,107,Cluster 26,Capitol Hill BID,,2026/04/03 08:30:22+00,{4E8BF186-8346-6B09-E063-782F520A8A93},393094455
,4239 9th St NW washington dc DC 20011 ,Justin  Heron,,,,,4239 9TH ST NW ,"Washington, DC,  20011",Bamboo Hut Cafe LLC.,930825000027,N,Grocery Store,Bamboo Hut Cafe LLC.,,,,2027/03/31 04:00:00+00,2025/05/01 04:00:00+00,2025/04/01 04:00:00+00,Public Health Food Establish,9308,Active,,"WASHINGTON, D",,20011,550971688,38.94272928,-77.0249224,397839.43,141648.87,,300862,4,ANC 4C,4C01,FOURTH,407,Cluster 18,,,2026/04/03 08:30:20+00,{4E8BF186-247B-6B09-E063-782F520A8A93},393070188
,4347 HUNT PL NE WASHINGTON DC 20019 ,AIDA A LEON,,,,,4347 HUNT PL NE ,WASHINGTON DC 20019,SUBURBAN LIQUORS 1 Inc.,930826000013,Y,Grocery Store,SUBURBAN LIQUORS 1 Inc.,,,,2028/03/31 04:00:00+00,2026/03/24 04:00:00+00,2026/03/24 04:00:00+00,Public Health Food Establish,9306,Active,,WASHINGTON,DC,20019,551037226,38.90031448,-76.93938899,405257.61,136941.92,,22805,7,ANC 7C,7C09,SIXTH,602,Cluster 30,,,2026/04/03 08:30:26+00,{4E8BF187-0230-6B09-E063-782F520A8A93},393126945
,4350 TEXAS AVENUE SE WASHINGTON DC 20019 ,,DEWIT,TEKTEBRHAN,,3017686978,4350 TEXAS AVE SE ,WASHINGTON DC 20019,TEXAS CONVENIENCE STORE INC,930814000022,Y,Grocery Store,TEXAS CONVENIENCE STORE INC,,,,2028/03/31 04:00:00+00,2026/03/04 05:00:00+00,2026/04/01 04:00:00+00,Public Health Food Establish,9101,Active,3018098094,WASHINGTON,DC,20019,551005013,38.88336457,-76.94216847,405017.7,135060.19,,22871,7,ANC 7F,7F05,SIXTH,603,Cluster 33,,,2026/04/03 08:30:23+00,{4E8BF186-961D-6B09-E063-782F520A8A93},393099278
,4401 NANNIE HELEN BU WASHINGTON DC 20019 ,,PATRICIA,SPENCER-NEAL,,(240) 550-4256,4401 NANNIE HELEN BURROUG AVE NE ,WASHINGTON DC 20019,JLAA INC.,930817000007,Y,Grocery Store,JLAA INC.,,,,2026/11/30 05:00:00+00,2024/12/30 05:00:00+00,2024/12/01 05:00:00+00,Public Health Food Establish,9308,Active,2405504256,WASHINGTON,DC,20019,551002133,38.90030776,-76.93893074,405297.36,136941.2,,288190,7,ANC 7C,7C09,SIXTH,602,Cluster 30,,,2026/04/03 08:30:23+00,{4E8BF186-8B19-6B09-E063-782F520A8A93},393096458
,4401 South Capitol S Washington DC 20032 ,Santia McLaurin,,,,,4401 SOUTH CAPITOL ST SW ,WASHINGTON DC 20032,DYD Trading,930823000004,Y,Grocery Store,DYD Trading,,,,2026/08/31 04:00:00+00,2022/11/30 05:00:00+00,2022/09/01 04:00:00+00,Public Health Food Establish,9308,Active,,WASHINGTON,DC,20032,550959027,38.82588624,-77.00763088,399337.38,128678.16,,299727,8,ANC 8D,8D06,SEVENTH,708,Cluster 39,,,2026/04/03 08:30:19+00,{4E8BF185-F867-6B09-E063-782F520A8A93},393058904
,4418 GEORGIA AVENUE  WASHINGTON DC 20011 ,,MEKEDES,ZELEKE,,2029999999,4418 GEORGIA AVE NW ,WASHINGTON DC 20011,EVE LLC.,930815000021,Y,Grocery Store,EVE LLC.,,,,2027/09/30 04:00:00+00,2025/09/29 04:00:00+00,2025/09/29 04:00:00+00,Public Health Food Establish,9308,Active,2024684231,WASHINGTON,DC,20011,550959019,38.94474401,-77.02653079,397700.06,141872.6,,252625,4,ANC 4C,4C01,FOURTH,404,Cluster 18,,,2026/04/03 08:30:19+00,{4E8BF185-F860-6B09-E063-782F520A8A93},393058897
,450 LAMONT STREET N. WASHINGTON DC 20010 ,PROFESSIONAL CORPORATION SERVICE INC.,,,,2025488000,450 LAMONT ST NW ,WASHINGTON DC 20010,LAMONT MARKET ASSOCIATES INC.,70104265,Y,Grocery Store,LAMONT MARKET ASSOCIATES INC.,,,,2028/04/30 04:00:00+00,2026/03/31 04:00:00+00,2026/05/01 04:00:00+00,Public Health Food Establish,9308,Active,2027265506,WASHINGTON,DC,20010,551009968,38.93113764,-77.01991292,398273.43,140361.99,,229099,1,ANC 1E,1E02,FOURTH,409,Cluster 2,,,2026/04/03 08:30:23+00,{4E8BF186-A691-6B09-E063-782F520A8A93},393103490
,4682 MLK JR AVENUE S WASHINGTON DC 20032 ,,SOLOMON,BELAY,,2022713239,4682 4684 MARTIN LUTHER KING J AVE SW ,WASHINGTON DC 20032,AKI MULLER & EYOB,930822000007,Y,Grocery Store,AKI MULLER & EYOB,,,,2029/10/31 04:00:00+00,2025/08/13 04:00:00+00,2025/10/01 04:00:00+00,Public Health Food Establish,4003,Active,,WASHINGTON,DC,20032,551004076,38.82112067,-77.0106495,399075.2,128149.14,,147083,8,ANC 8D,8D05,SEVENTH,708,Cluster 39,,,2026/04/03 08:30:23+00,{4E8BF186-9264-6B09-E063-782F520A8A93},393098325
,4748 SHERIFF RD NE WASHINGTON DC 20019 ,Adanech Gebremeskel,,,,,4748 SHERIFF RD NE ,WASHINGTON DC 20019,DEANWOOD TG,930825000007,Y,Grocery Store,DEANWOOD TG,,,,2026/10/31 04:00:00+00,2024/11/20 05:00:00+00,2024/11/01 04:00:00+00,Public Health Food Establish,9101,Active,,WASHINGTON,DC,20019,550996526,38.90307871,-76.93407963,405717.94,137249.09,,148953,7,ANC 7C,7C04,SIXTH,602,Cluster 31,,,2026/04/03 08:30:22+00,{4E8BF189-A011-6B09-E063-782F520A8A93},393298434
,4801 GEORGIA AVENUE  WASHINGTON DC 20011 ,2118 14TH STREET INC,,,,,4801 GEORGIA AVE NW ,WASHINGTON DC 20011,DGN INC,930825000038,Y,Grocery Store,DGN INC,,,,2027/07/31 04:00:00+00,2025/07/15 04:00:00+00,2025/07/15 04:00:00+00,Public Health Food Establish,9101,Active,,WASHINGTON,DC,20011,551005030,38.94841952,-77.02664291,397690.46,142280.58,,252033,4,ANC 4D,4D04,FOURTH,407,Cluster 18,,,2026/04/03 08:30:23+00,{4E8BF186-962C-6B09-E063-782F520A8A93},393099293
,4807 GEORGE AV NW WASHINGTON DC 20011 ,MOURICE GRANT,,,,,4807 GEORGIA AVE NW ,WASHINGTON DC 20011,M & V DC MEAT AND GROCERY,930822000025,Y,Grocery Store,M & V DC MEAT AND GROCERY,,,,2026/07/31 04:00:00+00,2024/09/03 04:00:00+00,2024/08/01 04:00:00+00,Public Health Food Establish,9308,Active,,WASHINGTON,DC,20011,550971684,38.9485939,-77.02671173,397684.5,142299.94,,252036,4,ANC 4D,4D04,FOURTH,407,Cluster 18,,,2026/04/03 08:30:20+00,{4E8BF186-2478-6B09-E063-782F520A8A93},393070185
,4817 GEORGIA AVENUE  WASHINGTON DC 20011 ,Adanech Gebremeskel,,,,,4817 GEORGIA AVE NW ,WASHINGTON DC 20011,ATNI,930825000040,Y,Grocery Store,ATNI,,,,2027/07/31 04:00:00+00,2025/07/24 04:00:00+00,2025/07/24 04:00:00+00,Public Health Food Establish,4003,Active,,WASHINGTON,DC,20011,551039029,38.94888072,-77.02672891,397683.02,142331.78,,252041,4,ANC 4D,4D04,FOURTH,407,Cluster 18,,,2026/04/03 08:30:26+00,{4E8BF187-086F-6B09-E063-782F520A8A93},393128544
,4845 MASSACHUSETTS A WASHINGTON DC 20016 ,,WILLIAM,"FUCHS, JR.",W,2023630777,4845 MASSACHUSETTS AVE NW ,WASHINGTON DC 20016,WAGSHAL'S MARKET L.L.C.,39507496,Y,Grocery Store,WAGSHAL'S MARKET L.L.C.,,,,2026/08/31 04:00:00+00,2024/08/27 04:00:00+00,2024/09/01 04:00:00+00,Public Health Food Establish,9308,Active,2023630777,WASHINGTON,DC,20016,550999371,38.94571376,-77.0957568,391699.01,141984.27,,284992,3,ANC 3E,3E06,SECOND,202,Cluster 11,,,2026/04/03 08:30:22+00,{4E8BF189-460F-6B09-E063-782F520A8A93},393275392
,4920 CENTRAL AVENUE  WASHINGTON DC 20019 ,,FIKREMARIAM,MENGESHA,E,(202) 723-1860,4920 CENTRAL AVE NE ,WASHINGTON DC 20019,"FIKRE MARKET, INC.",67000439,Y,Grocery Store,"FIKRE MARKET, INC.",,,,2027/08/31 04:00:00+00,2025/08/08 04:00:00+00,2025/08/01 04:00:00+00,Public Health Food Establish,9308,Active,2023984924,WASHINGTON,DC,20019,551037244,38.89062502,-76.93192263,405906.07,135866.77,,16223,7,ANC 7C,7C03,SIXTH,608,Cluster 33,,,2026/04/03 08:30:26+00,{4E8BF187-023E-6B09-E063-782F520A8A93},393126959
,4944 SOUTH DAKOTA AV WASHINGTON DC 20017 ,,ADANECH,GEBREMESKEL,,,4944 SOUTH DAKOTA AVE NE ,WASHINGTON DC 20017,NR 2 CONVENIENCE LLC,930825000025,Y,Grocery Store,NR 2 CONVENIENCE LLC,,,,2027/03/31 04:00:00+00,2025/04/14 04:00:00+00,2025/04/01 04:00:00+00,Public Health Food Establish,9101,Active,,WASHINGTON,DC,20017,551036472,38.9491566,-76.99290354,400615.15,142362.09,,288369,5,ANC 5A,5A08,FOURTH,405,Cluster 20,,,2026/04/03 08:30:26+00,{4E8BF186-FFBD-6B09-E063-782F520A8A93},393126318
,501 4TH ST SE WASHINGTON DC 20003 ,PROFESSIONAL CORPORATION SERVICE INC,,,,2029999999,501 4TH ST SE ,WASHINGTON DC 20003,DAE AH LLC,930818000019,Y,Grocery Store,DAE AH LLC,,,,2026/08/31 04:00:00+00,2024/08/27 04:00:00+00,2024/09/01 04:00:00+00,Public Health Food Establish,4103,Active,2025471336,WASHINGTON,DC,20003,550988775,38.8830826,-77.00082488,399928.43,135027.3,,15225,6,ANC 6B,6B01,FIRST,106,Cluster 26,,,2026/04/03 08:30:21+00,{4E8BF186-5D60-6B09-E063-782F520A8A93},393084753
,5010 NEW HAMPSHIRE A WASHINGTON DC 20011 ,S AND P REGISTERED AGENTS INC,PAUL,"PASCAL, ESQUIRE",,2025442200,5010 NEW HAMPSHIRE AVE NW ,WASHINGTON DC 20011,MHAT & DM LLC,930812000027,Y,Grocery Store,MHAT & DM LLC,,,,2026/08/31 04:00:00+00,2024/06/05 04:00:00+00,2024/09/01 04:00:00+00,Public Health Food Establish,4003,Active,2027261330,WASHINGTON,DC,20011,551039022,38.95140836,-77.01229849,398933.95,142612.14,,306154,4,ANC 4D,4D08,FOURTH,407,Cluster 19,,,2026/04/03 08:30:26+00,{4E8BF187-0868-6B09-E063-782F520A8A93},393128537
,5018 ROCK CREEK CHUR WASHINGTON DC 20011 ,,,,,,5018 ROCK CREEK CHURCH RD NE ,WASHINGTON DC 20011,,53005119,Y,Grocery Store,,CLINTON,PRICE,,2027/08/31 04:00:00+00,2025/07/23 04:00:00+00,2025/09/01 04:00:00+00,Public Health Food Establish,9308,Active,2407063708,WASHINGTON,DC,20011,550971673,38.95154122,-77.00829419,399281.05,142626.85,,302310,5,ANC 5A,5A07,FOURTH,405,Cluster 19,,,2026/04/03 08:30:20+00,{4E8BF186-246F-6B09-E063-782F520A8A93},393070176
,5018 ROCK CREEK CHUR WASHINGTON DC 20011 ,PRICES GROCERY,CLINTON,PRICE,,,5018 ROCK CREEK CHURCH RD NE ,WASHINGTON DC 20011,PRICES GROCERY,930826000012,Y,Grocery Store,PRICES GROCERY,CLINTON,PRICE,,2030/03/31 04:00:00+00,2026/03/17 04:00:00+00,2026/03/17 04:00:00+00,Public Health Food Establish,9308,Active,2407063708,WASHINGTON,DC,20011,550968853,38.95154122,-77.00829419,399281.05,142626.85,,302310,5,ANC 5A,5A07,FOURTH,405,Cluster 19,,,2026/04/03 08:30:19+00,{4E8BF186-1972-6B09-E063-782F520A8A93},393067363
,5026 BENNING RD SE Washington DC 20019 ,MOHAMMED H AHMED,,,,,5026 BENNING RD SE ,WASHINGTON DC 20019,DMV CONVENIENCE MART,930826000008,Y,Grocery Store,DMV CONVENIENCE MART,,,,2027/11/30 05:00:00+00,2025/11/24 05:00:00+00,2025/11/24 05:00:00+00,Public Health Food Establish,4103,Active,,WASHINGTON,DC,20019,551032868,38.87784662,-76.93079215,406005.22,134448.38,,14817,7,ANC 7E,7E02,SIXTH,604,Cluster 33,,,2026/04/03 08:30:25+00,{4E8BF186-F4AE-6B09-E063-782F520A8A93},393123487
,51 M ST NE WASHINGTON DC 20002 ,INCORP SERVICES INC,,,,,51 M ST NE ,WASHINGTON DC 20002,S&H 6 INC,930819000009,Y,Grocery Store,S&H 6 INC,,,,2026/11/30 05:00:00+00,2024/09/20 04:00:00+00,2024/12/01 05:00:00+00,Public Health Food Establish,9308,Active,9179405166,WASHINGTON,DC,20002,551037254,38.90545477,-77.00726885,399369.52,137510.85,,314143,6,ANC 6E,6E04,FIFTH,501,Cluster 25,NoMa BID,,2026/04/03 08:30:26+00,{4E8BF187-0246-6B09-E063-782F520A8A93},393126967
,3809 13TH ST NE WASHINGTON DC 20017 ,OLD CITY MAO LLC,CURT,HANSEN,,2025316118,522 1/2 K ST NE ,WASHINGTON DC 20002,OLD CITY MAO LLC,930817000001,Y,Grocery Store,OLD CITY MAO LLC,CURT,HANSEN,,2027/09/30 04:00:00+00,2025/09/09 04:00:00+00,2025/09/09 04:00:00+00,Public Health Food Establish,9308,Active,2025316118,WASHINGTON,DC,20002,550999377,38.90276561,-76.99866164,400116.09,137212.27,,308082,6,ANC 6C,6C01,FIFTH,501,Cluster 25,,,2026/04/03 08:30:22+00,{4E8BF186-8336-6B09-E063-782F520A8A93},393094439
,5302 GEORGIA AVENUE  WASHINGTON DC 20011 ,ADANECH GEBREMESKEL,,,,,5302 GEORGIA AVE ,WASHINGTON DC 20011,AIDA 202,930825000035,Y,Grocery Store,AIDA 202,,,,2027/05/31 04:00:00+00,2025/06/06 04:00:00+00,2025/06/01 04:00:00+00,Public Health Food Establish,9101,Active,,WASHINGTON,DC,20011,551036473,38.95426721,-77.02792558,397579.47,142929.76,,285152,4,ANC 4E,4E03,FOURTH,403,Cluster 18,,,2026/04/03 08:30:26+00,{4E8BF186-FFBE-6B09-E063-782F520A8A93},393126319
,5319 EAST CAPITOL ST Washington DC 20019 ,semagne wubneh,,,,,5319 EAST CAPITOL ST SE ,WASHINGTON DC 20019,JOHN LLC,930823000005,Y,Grocery Store,JOHN LLC,,,,2026/11/30 05:00:00+00,2024/09/24 04:00:00+00,2024/12/01 05:00:00+00,Public Health Food Establish,9308,Active,,WASHINGTON,DC,20019,551037260,38.88941161,-76.92530643,406480.17,135732.52,,288601,7,ANC 7C,7C08,SIXTH,604,Cluster 33,,,2026/04/03 08:30:26+00,{4E8BF187-024C-6B09-E063-782F520A8A93},393126973
NW,5331 Georgia ave. n. Washington DC 20011 ,SARA TESHOME,,,,,5331 GEORGIA AVE NW ,WASHINGTON DC 20011,HIWOT MARKET,930824000006,Y,Grocery Store,HIWOT MARKET,,,,2027/12/31 05:00:00+00,2024/01/31 05:00:00+00,2024/01/01 05:00:00+00,Public Health Food Establish,4103,Active,,WASHINGTON,DC,20011,551006644,38.95476872,-77.02757297,397610.05,142985.46,,254649,4,ANC 4D,4D03,FOURTH,403,Cluster 18,,,2026/04/03 08:30:23+00,{4E8BF186-9A2E-6B09-E063-782F520A8A93},393100319
